pixel1;pixel2;pixel3;pixel4;solid;vertical;diagonal;horizontal
0,242847851;0,315426164;0,225074044;0,441009095;1;0;0;0
0,212297652;0,985879635;0,700294961;0,262447671;1;0;0;0
0,259762402;0,692339598;0,393549175;0,71105576;1;0;0;0
0,733063307;0,977552321;0,327758483;0,21317844;1;0;0;0
0,251984732;0,287715406;0,693281109;0,21101783;1;0;0;0
0,617190559;0,574163706;0,359107364;0,292842644;1;0;0;0
0,455916494;0,479481678;0,986015124;0,410571088;1;0;0;0
0,256516519;0,782238311;0,307509221;0,240087685;1;0;0;0
0,860222731;0,343807788;0,932677208;0,894631716;1;0;0;0
0,958918973;0,280654328;0,383002046;0,828005128;1;0;0;0
0,423545111;0,579436006;0,757159691;0,412829962;1;0;0;0
0,822222614;0,226589265;0,649722224;0,920302057;1;0;0;0
0,581375187;0,775933591;0,30316439;0,671204793;1;0;0;0
0,972111952;0,440091738;0,685338047;0,95889365;1;0;0;0
0,437084554;0,661417549;0,865165595;0,589853077;1;0;0;0
0,350265626;0,835581903;0,518905481;0,220628887;1;0;0;0
0,941954642;0,497024369;0,231041542;0,961177631;1;0;0;0
0,924911795;0,359451536;0,829362016;0,763732234;1;0;0;0
0,697951093;0,203815243;0,865648138;0,786275253;1;0;0;0
0,99409187;0,402766413;0,697933451;0,410171495;1;0;0;0
0,374126305;0,974902225;0,822673319;0,849277912;1;0;0;0
0,370311839;0,2704883;0,551262071;0,603436377;1;0;0;0
0,403895715;0,204949974;0,928352167;0,542661555;1;0;0;0
0,514141202;0,730420282;0,903446638;0,586258464;1;0;0;0
0,534665261;0,706942976;0,683714002;0,451889097;1;0;0;0
0,391817237;0,685131243;0,457783901;0,738073721;1;0;0;0
0,623344131;0,3059113;0,941616151;0,578143991;1;0;0;0
0,985452137;0,507244201;0,798453083;0,441057345;1;0;0;0
0,975959084;0,212336663;0,750056055;0,794933372;1;0;0;0
0,287086314;0,506657296;0,993805863;0,20042158;1;0;0;0
0,338682875;0,39155592;0,957511596;0,310438132;1;0;0;0
0,34324791;0,34034953;0,885144073;0,274240689;1;0;0;0
0,236171369;0,593408372;0,613700301;0,228917894;1;0;0;0
0,78409352;0,656099307;0,207567677;0,380787056;1;0;0;0
0,95898262;0,705888058;0,739840607;0,634069894;1;0;0;0
0,901491742;0,997139757;0,39086316;0,221429917;1;0;0;0
0,615460491;0,594803593;0,209263485;0,46301056;1;0;0;0
0,752878548;0,783685192;0,992878147;0,815132388;1;0;0;0
0,778517087;0,358574951;0,518548162;0,698389354;1;0;0;0
0,498138397;0,506284123;0,458091496;0,236758121;1;0;0;0
0,950566961;0,786463787;0,819943083;0,330323641;1;0;0;0
0,511676451;0,29633144;0,935190231;0,60694832;1;0;0;0
0,480112068;0,6127966;0,300945105;0,413262683;1;0;0;0
0,538301111;0,884815973;0,407927909;0,649530999;1;0;0;0
0,314269314;0,941256944;0,941983811;0,838302517;1;0;0;0
0,632042805;0,550476932;0,969759784;0,610433914;1;0;0;0
0,207150798;0,898623993;0,612315554;0,448184424;1;0;0;0
0,955007637;0,435236692;0,639698788;0,280202077;1;0;0;0
0,397897212;0,294419125;0,53167285;0,401155629;1;0;0;0
0,75114936;0,90960134;0,26367381;0,813119693;1;0;0;0
0,249131086;0,283402535;0,322672507;0,615402364;1;0;0;0
0,352661389;0,880586105;0,68076531;0,395613139;1;0;0;0
0,779905207;0,483317111;0,701574313;0,462625888;1;0;0;0
0,634959057;0,70519828;0,430998549;0,342163773;1;0;0;0
0,753413796;0,319852068;0,609247645;0,80805841;1;0;0;0
0,416759336;0,74537435;0,41266912;0,4766542;1;0;0;0
0,7557011;0,299128926;0,88496474;0,787309582;1;0;0;0
